"Sample","Input","Filtered","Percent_Retained"
"Sample1_R1.fastq.gz",148408,109921,74.1
"Sample10_R1.fastq.gz",28391,20892,73.6
"Sample11_R1.fastq.gz",147001,116337,79.1
"Sample12_R1.fastq.gz",123954,106476,85.9
"Sample13_R1.fastq.gz",230651,187618,81.3
"Sample14_R1.fastq.gz",72014,61112,84.9
"Sample15_R1.fastq.gz",130227,103363,79.4
"Sample16_R1.fastq.gz",83896,68406,81.5
"Sample17_R1.fastq.gz",245588,187716,76.4
"Sample18_R1.fastq.gz",303070,249760,82.4
"Sample19_R1.fastq.gz",214417,170319,79.4
"Sample2_R1.fastq.gz",297037,239274,80.6
"Sample20_R1.fastq.gz",124841,99810,79.9
"Sample21_R1.fastq.gz",119605,92843,77.6
"Sample22_R1.fastq.gz",255080,204508,80.2
"Sample23_R1.fastq.gz",135690,103664,76.4
"Sample24_R1.fastq.gz",279954,241258,86.2
"Sample25_R1.fastq.gz",180080,153475,85.2
"Sample26_R1.fastq.gz",28836,21287,73.8
"Sample27_R1.fastq.gz",72258,62755,86.8
"Sample28_R1.fastq.gz",60391,52541,87
"Sample29_R1.fastq.gz",80723,72204,89.4
"Sample3_R1.fastq.gz",42952,26725,62.2
"Sample30_R1.fastq.gz",98278,87746,89.3
"Sample31_R1.fastq.gz",103645,90279,87.1
"Sample32_R1.fastq.gz",120309,106973,88.9
"Sample33_R1.fastq.gz",162441,144222,88.8
"Sample34_R1.fastq.gz",45203,37793,83.6
"Sample35_R1.fastq.gz",52648,46260,87.9
"Sample36_R1.fastq.gz",30555,26284,86
"Sample4_R1.fastq.gz",87730,67832,77.3
"Sample5_R1.fastq.gz",126966,100372,79.1
"Sample6_R1.fastq.gz",259125,207230,80
"Sample7_R1.fastq.gz",226999,175727,77.4
"Sample8_R1.fastq.gz",124154,93428,75.3
"Sample9_R1.fastq.gz",22007,16870,76.7
